epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.9024640917778015,0.003783316584303975,0.5729108452796936,1e-04,0.013920433819293976,0.4745880365371704,0.9972562193870544,0.005333748180419207,0.38079172372817993,0.5406184196472168,0.4309405982494354
1,0.9959978461265564,0.007183160167187452,0.3076157569885254,1e-04,0.36542144417762756,0.5114579796791077,0.998536229133606,0.011508569121360779,0.18218766152858734,0.8720774054527283,0.6089839935302734
2,0.9983596801757812,0.013660226948559284,0.14864513278007507,1e-04,0.8399982452392578,0.5521480441093445,0.9987286329269409,0.021296050399541855,0.09123478829860687,0.9421879649162292,0.6164556741714478
3,0.9986070990562439,0.025610193610191345,0.0754961222410202,1e-04,0.9329198598861694,0.5714136958122253,0.9987828135490417,0.03812286630272865,0.049395542591810226,0.9624523520469666,0.6176081299781799
4,0.9987942576408386,0.04930008202791214,0.04168035835027695,1e-04,0.9246125221252441,0.6515758037567139,0.999027669429779,0.06932621449232101,0.028917046263813972,0.9546362161636353,0.7148554921150208
5,0.9989866614341736,0.08568468689918518,0.02473606914281845,1e-04,0.9202654361724854,0.7334529161453247,0.999197244644165,0.1120709627866745,0.017972027882933617,0.9536524415016174,0.7796199917793274
6,0.9990176558494568,0.12607598304748535,0.016374200582504272,1e-04,0.9107280969619751,0.7570050358772278,0.9990605711936951,0.15856988728046417,0.011505321599543095,0.9575808048248291,0.7255403399467468
7,0.9991498589515686,0.185770183801651,0.010664563626050949,1e-04,0.9229811429977417,0.7984107732772827,0.9992495179176331,0.22428344190120697,0.00828305259346962,0.9319652318954468,0.8245485424995422
8,0.9991374611854553,0.241913303732872,0.00772950891405344,1e-04,0.9204521775245667,0.7967478632926941,0.9992865324020386,0.2901151478290558,0.006014765240252018,0.9286625385284424,0.8482831120491028
9,0.9992883205413818,0.323783814907074,0.005241173319518566,1e-04,0.9319193363189697,0.8447365164756775,0.999306857585907,0.36378034949302673,0.00442136637866497,0.9328705072402954,0.8485058546066284
10,0.9993491768836975,0.39886781573295593,0.003820821875706315,1e-04,0.9369201064109802,0.8636544942855835,0.9992537498474121,0.4223693311214447,0.0036910674534738064,0.9163608551025391,0.8483644723892212
11,0.9993728399276733,0.4657793343067169,0.0029642449226230383,1e-04,0.938581645488739,0.8709390759468079,0.999298095703125,0.4781438410282135,0.0031080993358045816,0.9235743284225464,0.8529614806175232
12,0.9993681311607361,0.520238995552063,0.002472430933266878,1e-04,0.9371596574783325,0.8707349300384521,0.9992968440055847,0.5323452353477478,0.0026333951391279697,0.9214059114456177,0.8557076454162598
13,0.9993990659713745,0.5787246823310852,0.0020113030914217234,1e-04,0.9396811723709106,0.8806554675102234,0.9993101954460144,0.5877904891967773,0.0023441871162503958,0.912214994430542,0.8773857951164246
